row_index,author_id,name,home_link,total_cost_usd,usage
198,CRPHFJYAAAAJ,Mina Yoon,https://www.ornl.gov/staff-profile/mina-yoon,0.0008904500000000001,"""CompletionUsage(completion_tokens=509, prompt_tokens=3845, total_tokens=4354, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=3845, image_tokens=0), num_sources_used=0)"""
199,77N1WnEAAAAJ,Jongmin Park,https://sites.google.com/view/jongminpark/,0.0006724000000000001,"""CompletionUsage(completion_tokens=44, prompt_tokens=3372, total_tokens=3416, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=3372, image_tokens=0), num_sources_used=0)"""
205,ctjJqf0AAAAJ,Woo-Sung Jang,https://sites.google.com/site/skkustem/home,0.000832,"""CompletionUsage(completion_tokens=44, prompt_tokens=4170, total_tokens=4214, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=4170, image_tokens=0), num_sources_used=0)"""
209,kXdTJBYAAAAJ,Jaeyu Park,https://cdh.khu.ac.kr/,0.0013348,"""CompletionUsage(completion_tokens=54, prompt_tokens=6659, total_tokens=6713, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=6659, image_tokens=0), num_sources_used=0)"""
214,rvVeSE0AAAAJ,Gyeong Ju SONG,http://seed.hanyang.ac.kr/,6.755e-05,"""CompletionUsage(completion_tokens=30, prompt_tokens=928, total_tokens=958, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=928, image_tokens=0), num_sources_used=0)"""
215,HjUMq1YAAAAJ,Chaehyeon Chelsea Nam,https://chelsea-nam.github.io/,0.0003285,"""CompletionUsage(completion_tokens=67, prompt_tokens=1595, total_tokens=1662, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=1595, image_tokens=0), num_sources_used=0)"""
217,s1IfPS8AAAAJ,Junghyun Choi,https://sites.google.com/view/amsl4all/,0.000671,"""CompletionUsage(completion_tokens=44, prompt_tokens=3365, total_tokens=3409, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=3365, image_tokens=0), num_sources_used=0)"""
228,4SCvRv8AAAAJ,Taekjip Ha,http://ha.med.jhmi.edu/,0.0011866000000000001,"""CompletionUsage(completion_tokens=72, prompt_tokens=5873, total_tokens=5945, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=5873, image_tokens=0), num_sources_used=0)"""
229,T3sNok4AAAAJ,Min Sang Kwon,http://kwonlab.snu.ac.kr/,0.0005262,"""CompletionUsage(completion_tokens=54, prompt_tokens=2616, total_tokens=2670, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=2616, image_tokens=0), num_sources_used=0)"""
237,qQAZGNQAAAAJ,"Jo, Sung Min",https://aero-thermo.github.io/,0.0002997,"""CompletionUsage(completion_tokens=55, prompt_tokens=1481, total_tokens=1536, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=1481, image_tokens=0), num_sources_used=0)"""
